1000
1	1000
1	24	2756
1	299	3373
1	745	2277
1	133	536
1	54	3854
1	218	300
1	277	3522
2	353	3093
2	166	1749
2	835	1834
2	517	1123
2	688	3493
2	198	2617
3	539	3456
3	157	2788
3	106	837
3	13	2958
3	678	2682
3	760	387
3	118	2966
4	36	544
4	780	3506
4	488	2061
4	981	2632
4	830	1741
4	688	2994
4	530	879
4	689	482
4	182	457
4	37	3426
4	278	2516
5	451	3282
5	38	474
5	752	2608
5	235	3313
5	31	959
5	673	2861
5	630	1998
5	51	1143
5	958	1394
5	378	743
5	238	1313
6	254	1903
6	891	3091
6	988	1757
6	990	1479
6	483	403
6	643	741
6	545	727
6	558	1384
6	535	1269
6	117	3231
7	575	2147
7	983	1123
7	105	762
7	167	1203
7	271	651
7	638	3184
7	437	1180
7	840	984
7	687	864
7	183	655
7	87	2812
8	920	1033
8	126	3358
8	61	476
8	731	2875
8	985	40
8	94	1789
8	456	2086
8	67	2673
9	876	972
9	392	3429
9	861	3014
9	94	2121
9	130	2627
9	576	2800
9	405	976
9	396	2329
10	267	2496
10	923	3568
10	317	2938
10	692	355
10	234	542
10	978	1793
10	397	3132
10	345	2281
10	500	668
10	989	1571
10	895	1596
11	881	1064
11	849	832
11	144	1064
11	946	1022
11	575	3165
11	879	1714
11	872	1104
11	503	2372
12	463	2399
12	61	688
12	621	2622
12	817	306
12	342	549
12	875	1368
13	752	2509
13	39	1754
13	212	618
13	544	3236
13	777	3442
13	164	2741
13	356	1603
13	52	2497
13	195	1990
13	107	1610
13	953	1710
14	10	666
14	273	3265
14	723	3441
14	131	624
14	708	1619
14	658	2014
14	406	635
14	735	1211
14	872	2978
14	421	1901
14	425	2636
15	918	553
15	94	1021
15	717	758
15	411	3102
15	241	3171
15	298	1562
15	520	2765
15	938	2911
15	64	1959
15	543	908
15	541	2522
16	597	1514
16	986	2483
16	971	3270
16	795	2911
16	741	623
16	251	920
16	58	845
17	120	1690
17	34	3356
17	139	1728
17	975	1128
17	430	1820
17	883	2463
17	565	3198
18	463	3544
18	359	2302
18	908	495
18	223	1433
18	860	1499
18	596	1186
19	807	2363
19	964	2706
19	339	2420
19	871	2133
19	963	3069
19	497	2270
19	967	3101
19	961	1896
19	635	1017
19	36	100
20	902	3223
20	999	2552
20	29	1217
20	917	360
20	736	1034
20	64	3042
21	295	2170
21	856	617
21	74	597
21	164	678
21	44	907
21	473	1019
22	724	1351
22	659	2921
22	186	1940
22	864	3575
22	341	2970
22	50	3557
22	850	1263
22	86	1530
22	433	2199
22	704	804
23	853	3516
23	428	2914
23	471	2609
23	291	2664
23	104	1073
23	664	1083
23	651	590
24	399	1339
24	488	3189
24	171	671
24	801	2677
24	6	4910
24	308	434
24	909	2013
24	336	20
25	55	1136
25	31	1564
25	173	2482
25	973	555
25	191	2438
25	470	2561
26	197	3249
26	752	3505
26	620	430
26	813	939
26	940	879
26	125	1479
26	931	1932
26	698	1755
27	988	1649
