100
1	100
1	14	867
1	49	514
1	85	2335
1	22	2931
1	10	3315
1	50	1987
1	68	100
1	34	1016
1	69	3495
2	76	2050
2	89	3561
2	91	3495
2	88	1384
2	56	1121
2	9	1635
2	80	1505
2	33	2510
2	43	3398
3	91	1000
3	68	1471
3	39	3580
3	17	541
3	95	1992
3	63	2605
3	59	2846
3	80	2586
3	27	1529
3	11	1370
4	55	2678
4	39	2516
4	94	3162
4	46	432
4	2	2713
4	25	1626
4	33	2188
5	31	3416
5	90	1149
5	41	2793
5	66	2638
5	47	2445
5	40	1669
5	8	1065
6	91	2763
6	35	2204
6	17	2540
6	47	1292
6	2	2575
6	15	3272
7	5	1256
7	62	510
7	51	462
7	63	672
7	28	1310
7	84	2755
7	15	2493
7	12	2826
7	94	2579
8	43	690
8	7	1594
8	80	360
8	70	845
8	22	3276
8	10	3105
9	21	1205
9	89	3474
9	48	3025
9	39	467
9	8	2379
9	54	3513
9	43	3058
9	69	1943
9	6	661
9	86	2159
10	11	2197
10	96	866
10	25	879
10	15	692
10	37	1978
10	5	1472
11	86	2898
11	39	3567
11	97	2204
11	28	1373
11	16	3532
11	34	3336
11	23	1270
11	14	3569
11	95	2028
12	41	3129
12	30	2221
12	52	2346
12	11	1687
12	9	1407
12	7	2686
12	59	2319
12	6	1302
12	95	3349
13	32	1836
13	100	3366
13	20	1106
13	33	2862
13	98	702
13	78	824
13	34	379
13	15	3403
13	10	1077
13	50	1831
14	38	1064
14	50	1216
14	42	996
14	43	2913
14	15	3343
14	22	1796
15	83	3539
15	16	3221
15	34	3292
15	5	707
15	67	1131
15	93	1202
15	50	1163
15	21	646
15	39	2122
15	14	2811
15	77	2665
16	15	1251
16	42	2097
16	23	3267
16	2	3471
16	72	216
16	69	3500
16	46	1448
17	63	854
17	61	2484
17	64	3488
17	97	1689
17	74	2254
17	57	1232
17	96	2054
18	9	2169
18	34	2134
18	14	642
18	29	1491
18	95	120
18	2	859
19	82	2054
19	34	1650
19	75	3334
19	15	1638
19	56	1970
19	58	2195
19	31	793
19	95	1694
19	78	2869
19	13	2159
19	68	1727
20	60	908
20	50	2901
20	25	1749
20	72	636
20	76	2145
20	41	3350
20	66	3306
21	37	1465
21	60	1188
21	15	3248
21	48	2547
21	19	1816
21	99	160
21	67	816
21	18	2291
21	11	1965
21	76	1463
22	34	2107
22	98	2122
22	28	513
22	1	1365
22	23	3427
22	80	2326
22	43	2524
22	83	3273
22	16	3481
22	36	2999
23	28	1810
23	100	951
23	15	3393
23	45	1914
23	8	3009
23	30	2476
24	61	3015
24	65	3333
24	67	522
24	40	577
24	76	1186
24	81	1122
24	77	1838
24	95	2547
24	69	491
25	85	3503
25	40	1220
25	19	890
25	49	1919
25	97	635
25	13	1000
25	23	878
25	43	2426
25	91	2916
25	33	1580
25	39	1992
26	25	1151
26	83	873
26	74	3173
26	7	2384
26	20	376
26	100	309
26	45	984
26	42	1840
26	93	2111
26	44	2760
27	14	2791
27	73	1005
27	7	2948
27	2	3057
27	6	1709
27	87	2269
27	18	2057
27	72	516
27	67	1807
27	15	1425
27	94	2718
28	1	347
28	32	980
28	96	1152
28	67	1983
28	81	95
28	7	2839
28	23	2847
28	35	1750
28	93	1700
29	65	722
29	30	2031
29	12	2093
29	75	3553
29	69	1906
29	89	3344
29	3	305
29	53	792
29	28	618
30	95	883
30	52	3270
30	17	920
30	24	1342
30	80	381
30	71	875
30	64	275
31	64	2986
31	5	1525
31	60	2485
31	34	1855
31	74	333
31	56	3246
31	6	2217
31	40	1126
31	9	2569
31	21	2264
32	23	3098
32	91	930
32	14	637
32	79	1803
32	28	3216
32	44	1934
32	77	1094
32	83	367
32	27	741
32	33	1325
32	21	717
33	86	2050
33	34	3180
33	77	2846
33	7	2913
33	68	521
33	80	874
33	1	1021
33	76	2175
33	32	308
33	66	2319
33	5	1634
34	18	444
34	12	2878
34	97	1627
34	46	3580
34	4	1531
34	10	1103
34	59	359
34	20	3164
34	75	2666
35	40	2848
35	18	3179
35	4	2509
35	88	1097
35	92	1096
35	29	3269
35	10	3543
35	89	2382
36	17	2019
36	72	2616
36	98	1395
36	15	2883
36	99	2386
36	22	1259
36	4	823
36	78	2963
36	47	429
36	100	90
36	79	909
37	10	3097
37	18	2434
37	74	1651
37	4	980
37	98	1740
37	60	1037
37	54	2708
37	45	1190
37	52	2839
37	30	614
37	13	2678
38	30	1730
38	49	518
38	56	1876
38	37	2867
38	63	1029
38	1	3517
38	73	853
38	2	3046
39	69	2400
39	13	2586
39	63	840
39	75	2583
39	87	1743
39	71	1299
39	67	1215
39	34	3245
39	62	3590
39	4	1001
39	70	2123
40	6	3534
40	49	340
40	89	1584
40	38	848
40	36	2617
40	21	2102
41	77	3420
41	40	834
41	32	1590
41	61	2590
41	93	1494
41	45	2763
41	28	2645
41	65	2370
42	59	2467
42	35	3226
42	40	482
42	82	2549
42	2	1338
42	25	1172
42	19	3186
42	17	1864
42	4	1875
42	26	1549
43	16	2743
43	17	2612
43	9	2530
43	78	2960
43	15	2544
43	94	2510
43	61	1372
43	68	1330
44	92	628
44	79	2421
44	54	1629
44	91	369
44	31	1177
44	47	420
44	73	3254
44	100	2454
45	50	2849
45	43	3185
45	56	120
45	58	896
45	34	2920
45	68	2746
45	24	3045
45	26	3251
45	46	3300
45	86	1748
45	54	2108
46	40	2659
46	76	2665
46	84	3009
46	39	538
46	59	1911
46	36	3260
46	91	3165
46	55	1757
47	65	953
47	86	1640
47	60	1558
47	43	1984
47	6	3355
47	5	3280
47	75	555
47	55	3102
47	1	711
47	39	2808
47	61	2915
48	86	570
48	5	1600
48	92	2754
48	57	1323
48	60	3382
48	90	3531
49	60	2191
49	62	1649
49	1	941
49	95	2677
49	14	2169
49	23	2638
49	36	3112
49	87	2008
49	18	2074
49	73	354
50	15	3433
50	57	2109
50	97	2464
50	19	2775
50	56	2274
50	43	513
50	6	1725
51	52	2085
51	50	1845
51	98	1564
51	97	762
51	61	437
51	82	3268
51	32	1718
51	73	1652
51	2	1178
51	74	3509
51	43	3034
52	7	1368
52	66	3180
52	57	932
52	28	734
52	18	3389
52	96	1271
52	55	1290
53	92	924
53	90	819
53	68	2214
53	23	1884
53	2	2428
53	51	3362
53	100	769
53	59	3061
53	21	1225
53	89	3351
54	66	836
54	68	2615
54	94	1092
54	91	1438
54	84	453
54	22	2852
54	38	1048
54	41	3487
54	82	2744
55	87	1459
55	12	3480
55	15	639
55	25	2762
55	72	623
55	2	3412
55	48	1055
55	29	2215
55	69	3191
55	44	979
55	21	1614
56	17	731
56	12	1487
56	91	2159
56	43	2496
56	49	2723
56	35	3038
56	21	150
57	19	668
57	77	2089
57	27	3104
57	63	3306
57	31	939
57	88	623
58	74	3292
58	44	3546
58	84	3506
58	98	1576
58	11	2096
58	43	3387
59	31	539
59	10	1705
59	52	519
59	2	347
59	32	3137
59	49	1851
59	92	2488
60	96	3045
60	48	3218
60	95	2848
60	38	502
60	79	2519
60	34	581
60	31	541
60	93	3058
60	65	2436
61	17	2223
61	57	2845
61	43	1079
61	68	1585
61	49	2193
61	74	443
62	19	529
62	51	640
62	36	952
62	15	1251
62	17	1601
62	28	2763
63	62	404
63	93	1918
63	96	3117
63	19	1322
63	69	2996
63	58	3102
63	76	1443
63	71	3440
63	18	120
64	68	3526
64	76	3190
64	65	2940
64	82	3074
64	55	485
64	93	2642
64	74	1425
64	15	3183
64	45	218
64	66	2671
65	47	1414
65	9	429
65	83	2821
65	99	659
65	50	1332
65	69	1624
65	98	647
65	23	3531
65	74	3306
65	12	1215
66	51	843
66	59	3338
66	89	3376
66	93	657
66	10	647
66	46	1641
66	58	638
66	96	2758
67	34	1692
67	24	749
67	41	671
67	91	1376
67	94	1342
67	59	2422
68	27	3289
68	56	2953
68	5	1144
68	70	473
68	35	990
68	74	2678
68	17	3365
68	13	888
68	95	200
69	75	1025
69	81	1491
69	90	876
69	35	605
69	23	1499
69	80	1876
69	61	3472
69	53	1475
69	50	3136
70	66	2058
70	55	2031
70	73	600
70	80	1499
70	6	2525
70	10	1486
70	51	2053
70	88	1229
70	46	1994
70	87	2029
70	56	2915
71	8	2427
71	11	523
71	68	3558
71	70	2244
71	37	3456
71	27	996
71	21	611
71	62	1633
71	39	590
72	32	2498
72	17	714
72	33	3263
72	52	661
72	12	1616
72	59	829
72	73	834
72	49	560
72	28	160
73	43	583
73	42	1470
73	27	1265
73	33	813
73	17	3409
73	22	2084
73	89	2224
73	19	3449
73	70	3548
74	50	1704
74	35	3353
74	72	1868
74	29	1467
74	81	976
74	99	401
74	17	326
74	4	1642
74	11	1816
74	41	692
75	14	1154
75	37	3400
75	100	1785
75	22	848
75	25	484
75	36	2480
75	3	2809
75	94	2855
75	91	946
75	97	1171
75	30	1662
76	82	380
76	77	1561
76	9	1284
76	56	2732
76	50	303
76	91	2198
76	58	910
76	94	2437
77	79	1082
77	95	404
77	39	2814
77	65	3337
77	58	1170
77	86	2359
77	41	3022
78	13	416
78	9	3342
78	3	2388
78	86	2689
78	21	2307
78	26	3405
79	57	3135
79	6	3159
79	75	2371
79	82	426
79	18	3196
79	38	2468
79	95	412
79	62	1228
80	3	1546
80	40	2082
80	28	3386
80	36	1333
80	60	2888
80	65	1216
80	64	3113
80	92	3175
80	25	753
80	35	3528
80	47	2059
81	59	3201
81	8	1821
81	68	1281
81	79	1194
81	9	633
81	31	463
81	37	2493
81	30	108
82	65	1393
82	73	1523
82	42	2305
82	58	1605
82	63	1536
82	2	1135
82	44	3469
82	41	766
82	92	3570
83	57	3330
83	99	1656
83	27	2926
83	36	430
83	20	2464
83	38	1809
83	18	1004
83	40	1871
83	43	1441
83	56	1524
84	87	1154
84	38	927
84	6	3006
84	34	2141
84	12	764
84	67	558
85	61	2069
85	1	1191
85	21	2824
85	73	3019
85	74	665
85	38	2539
85	47	3059
85	84	397
86	6	985
86	50	2470
86	81	412
86	61	3263
86	98	2103
86	88	1326
86	83	2450
87	98	3391
87	54	2774
87	42	995
87	22	1478
87	64	3094
87	45	1971
87	67	693
87	9	1766
87	51	2472
88	50	2700
88	87	3405
88	49	2831
88	75	2688
88	35	2187
88	86	3352
88	36	3076
88	25	1037
88	1	1928
88	61	677
88	18	1474
89	2	3314
89	99	2031
89	68	3016
89	39	1646
89	62	3406
89	10	1954
89	60	3417
